Product Name,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Unlimited Main Quota (GB),Limited Application Quota (GB),Operator,Others,Limited Main Quota Duration (Hari),Limited Application Quota Duration (Hari),Unlimited Application Quota (GB),Unlimited Application Quota Duration (Hari),Total Anggota,ProductName
Paket Data Kuota 100 GB,100.0,30.0,100.0,,,Smartfren,,,,,,,
Paket Data Kuota M,38.0,30.0,16.0,,5.0,Smartfren,,,,,,,
Paket Data Kuota L,55.0,30.0,30.0,,10.0,Smartfren,,,,,,,
Paket Data Kuota 2L,82.0,30.0,55.0,,10.0,Smartfren,,,,,,,
Paket Data Kuota 3L,115.0,30.0,85.0,,15.0,Smartfren,,,,,,,
Paket Data Kuota 4L,137.0,30.0,110.0,,15.0,Smartfren,,,,,,,
Kuota 3 GB,15.0,14.0,3.0,,,Smartfren,,,,,,,
Unlimited Harian 4 GB,160.0,30.0,,120.0,,Smartfren,,,,,,,
Unlimited Harian 3 GB,120.0,30.0,,90.0,,Smartfren,,,,,,,
Unlimited Harian 2 GB,100.0,30.0,,60.0,,Smartfren,,,,,,,
Unlimited Harian 1 GB,45.0,14.0,,14.0,,Smartfren,,,,,,,
Unlimited Harian 1 GB,25.0,7.0,,7.0,,Smartfren,,,,,,,
Unlimited Harian 1 GB,9.0,1.0,,1.0,,Smartfren,,,,,,,
Unlimited Harian 700 MB,70.0,30.0,,21.0,,Smartfren,,,,,,,
Paket Tinder Plus,32.0,30.0,1.0,,1.0,Telkomsel,Voucher Tinder Plus,,,,,,
Ekstra Kuota 3GB,15.0,,0.5,,2.5,Telkomsel,,,,,,,
Ekstra Kuota 9.5GB,30.0,,2.0,,7.5,Telkomsel,,,,,,,
Ekstra Kuota 11.5GB,40.0,,4.0,,7.5,Telkomsel,,,,,,,
Ekstra Kuota 17.5GB,50.0,,7.0,,10.5,Telkomsel,,,,,,,
Ketengan Ilmupedia,1.1,1.0,,,1.0,Telkomsel,,,,,,,
Ketengan Ilmupedia,3.3,1.0,,,10.0,Telkomsel,,,,,,,
Ketengan Ilmupedia,3.3,3.0,,,5.0,Telkomsel,,,,,,,
Ketengan Ilmupedia,5.5,3.0,,,11.0,Telkomsel,,,,,,,
Ketengan Ilmupedia,7.7,3.0,,,17.0,Telkomsel,,,,,,,
Ketengan Ilmupedia,9.0,7.0,,,11.0,Telkomsel,,,,,,,
Ketengan Ilmupedia,11.2,7.0,,,17.0,Telkomsel,,,,,,,
Ketengan Ilmupedia,12.8,7.0,,,28.0,Telkomsel,,,,,,,
Bulanan Ilmupedia,25.0,30.0,1.0,,10.0,Telkomsel,,,,,,,
Bulanan Ilmupedia,40.0,30.0,2.0,,20.0,Telkomsel,,,,,,,
Ketengan Ruangguru,1.1,1.0,,,1.0,Telkomsel,,,,,,,
Ketengan Ruangguru,3.3,1.0,,,10.0,Telkomsel,,,,,,,
Ketengan Ruangguru,3.3,3.0,,,5.0,Telkomsel,,,,,,,
Ketengan Ruangguru,5.5,3.0,,,11.0,Telkomsel,,,,,,,
Ketengan Ruangguru,7.7,3.0,,,17.0,Telkomsel,,,,,,,
Ketengan Ruangguru,9.0,7.0,,,11.0,Telkomsel,,,,,,,
Ketengan Ruangguru,11.2,7.0,,,17.0,Telkomsel,,,,,,,
Ketengan Ruangguru,12.8,7.0,,,28.0,Telkomsel,,,,,,,
Bulanan Ruangguru,25.0,30.0,1.0,,5.0,Telkomsel,,,,,,,
Bulanan Ruangguru,40.0,30.0,2.0,,10.0,Telkomsel,,,,,,,
Ketengan Belajar - 2 GB,3.3,1.0,,,2.0,Telkomsel,,,,,,,
Ketengan Belajar - 5.5 GB,5.5,3.0,,,5.5,Telkomsel,,,,,,,
Ketengan Belajar - 11 GB,7.7,3.0,,,11.0,Telkomsel,,,,,,,
Ketengan Belajar - 5.5 GB,8.5,7.0,,,5.5,Telkomsel,,,,,,,
Ketengan Belajar - 11 GB,10.9,7.0,,,11.0,Telkomsel,,,,,,,
Ketengan Belajar - 22 GB,12.9,7.0,,,22.0,Telkomsel,,,,,,,
Bulanan Kuota Belajar - 15 GB,30.0,30.0,,,15.0,Telkomsel,,,,,,,
Bulanan Kuota Belajar - 30 GB,50.0,30.0,,,30.0,Telkomsel,,,,,,,
Paket Harian 1,6.5,1.0,2.0,,,Telkomsel,,,,,,,
Paket Harian 2,12.5,1.0,6.0,,,Telkomsel,,,,,,,
Combo Sakti,68.0,30.0,15.0,,10.0,Telkomsel,Prime Video,,,,,,
Combo Sakti,88.0,30.0,20.0,,15.0,Telkomsel,Prime Video,,,,,,
Combo Sakti,114.0,30.0,28.0,,20.0,Telkomsel,Prime Video,,,,,,
Ketengan Utama - 500 MB,4.0,1.0,0.5,,,Telkomsel,,,,,,,
Ketengan Utama - 6 GB,17.0,1.0,6.0,,,Telkomsel,,,,,,,
Ketengan Utama - 3.5 GB,15.0,1.0,3.5,,,Telkomsel,,,,,,,
Ketengan Utama - 500 MB,12.5,3.0,0.5,,,Telkomsel,,,,,,,
Ketengan Utama - 22 GB,55.0,3.0,22.0,,,Telkomsel,,,,,,,
Ketengan Utama - 1.5 GB,18.0,3.0,1.5,,,Telkomsel,,,,,,,
Ketengan Utama - 2.5 GB,24.0,3.0,2.5,,,Telkomsel,,,,,,,
Ketengan Utama - 3.5 GB,29.0,3.0,3.5,,,Telkomsel,,,,,,,
Ketengan Utama - 8 GB,39.0,3.0,8.0,,,Telkomsel,,,,,,,
Ketengan Utama - 17 GB,49.0,3.0,17.0,,,Telkomsel,,,,,,,
Ketengan Utama - 500 MB,22.0,7.0,0.5,,,Telkomsel,,,,,,,
Ketengan Utama - 40 GB,77.5,7.0,40.0,,,Telkomsel,,,,,,,
Ketengan Utama - 1.5 GB,29.0,7.0,1.5,,,Telkomsel,,,,,,,
Ketengan Utama - 2.5 GB,36.0,7.0,2.5,,,Telkomsel,,,,,,,
Ketengan Utama - 3.5 GB,41.0,7.0,3.5,,,Telkomsel,,,,,,,
Ketengan Utama - 6 GB,50.0,7.0,6.0,,,Telkomsel,,,,,,,
Ketengan Utama - 17 GB,62.0,7.0,17.0,,,Telkomsel,,,,,,,
Ketengan 1 Hari YouTube,5.0,1.0,,,1.0,Telkomsel,,,,,,,
Ketengan 1 Hari Facebook,5.0,1.0,,,1.0,Telkomsel,,,,,,,
Ketengan 1 Hari Instagram,5.0,1.0,,,1.0,Telkomsel,,,,,,,
Ketengan 1 Hari TikTok,5.0,1.0,,,1.0,Telkomsel,,,,,,,
Ketengan 1 Hari Twitter,5.0,1.0,,,1.0,Telkomsel,,,,,,,
Ketengan 3 Hari YouTube,11.5,3.0,,,2.0,Telkomsel,,,,,,,
Ketengan 3 Hari Facebook,11.5,3.0,,,2.0,Telkomsel,,,,,,,
Ketengan 3 Hari Instagram,11.5,3.0,,,2.0,Telkomsel,,,,,,,
Ketengan 3 Hari TikTok,11.5,3.0,,,2.0,Telkomsel,,,,,,,
Ketengan 3 Hari Twitter,11.5,3.0,,,2.0,Telkomsel,,,,,,,
Ketengan 7 Hari YouTube,17.0,7.0,,,3.0,Telkomsel,,,,,,,
Ketengan 7 Hari Facebook,17.0,7.0,,,3.0,Telkomsel,,,,,,,
Ketengan 7 Hari Instagram,17.0,7.0,,,3.0,Telkomsel,,,,,,,
Ketengan 7 Hari TikTok,17.0,7.0,,,3.0,Telkomsel,,,,,,,
Ketengan 7 Hari Twitter,17.0,7.0,,,3.0,Telkomsel,,,,,,,
Ketengan TikTok 1 GB,3.6,1.0,,,1.0,Telkomsel,,,,,,,
Ketengan Whatsapp 1 GB,3.6,1.0,,,1.0,Telkomsel,,,,,,,
Ketengan Twitter 1 GB,3.6,1.0,,,1.0,Telkomsel,,,,,,,
Ketengan TikTok 1 GB,5.8,3.0,,,1.0,Telkomsel,,,,,,,
Ketengan Whatsapp 1 GB,5.8,3.0,,,1.0,Telkomsel,,,,,,,
Ketengan Twitter 1 GB,5.8,3.0,,,1.0,Telkomsel,,,,,,,
Ketengan TikTok 2.5 GB,8.0,3.0,,,2.5,Telkomsel,,,,,,,
Ketengan Whatsapp 2.5 GB,8.0,3.0,,,2.5,Telkomsel,,,,,,,
Ketengan Twitter 2.5 GB,8.0,3.0,,,2.5,Telkomsel,,,,,,,
Ketengan TikTok 1 GB,9.5,7.0,,,1.0,Telkomsel,,,,,,,
Ketengan Whatsapp 1 GB,9.5,7.0,,,1.0,Telkomsel,,,,,,,
Ketengan Twitter 1 GB,9.5,7.0,,,1.0,Telkomsel,,,,,,,
Ketengan TikTok 2.5 GB,11.8,7.0,,,2.5,Telkomsel,,,,,,,
Ketengan Whatsapp 2.5 GB,11.8,7.0,,,2.5,Telkomsel,,,,,,,
Ketengan Twitter 2.5 GB,11.8,7.0,,,2.5,Telkomsel,,,,,,,
Ketengan TikTok 3.5 GB,13.5,7.0,,,3.5,Telkomsel,,,,,,,
Ketengan Whatsapp 3.5 GB,13.5,7.0,,,3.5,Telkomsel,,,,,,,
Ketengan Twitter 3.5 GB,13.5,7.0,,,3.5,Telkomsel,,,,,,,
Ketengan YouTube 5.5 GB,34.0,30.0,,,5.5,Telkomsel,,,,,,,
Ketengan Instagram 5.5 GB,34.0,30.0,,,5.5,Telkomsel,,,,,,,
Ketengan Facebook 5.5 GB,34.0,30.0,,,5.5,Telkomsel,,,,,,,
Ketengan TikTok 5.5 GB,34.0,30.0,,,5.5,Telkomsel,,,,,,,
Ketengan Whatsapp 5.5 GB,34.0,30.0,,,5.5,Telkomsel,,,,,,,
Ketengan Twitter 5.5 GB,34.0,30.0,,,5.5,Telkomsel,,,,,,,
Ketengan YouTube 11 GB,54.0,30.0,,,11.0,Telkomsel,,,,,,,
Ketengan Instagram 11 GB,54.0,30.0,,,11.0,Telkomsel,,,,,,,
Ketengan Facebook 11 GB,54.0,30.0,,,11.0,Telkomsel,,,,,,,
Ketengan TikTok 11 GB,54.0,30.0,,,11.0,Telkomsel,,,,,,,
Ketengan Whatsapp 11 GB,54.0,30.0,,,11.0,Telkomsel,,,,,,,
Ketengan Twitter 11 GB,54.0,30.0,,,11.0,Telkomsel,,,,,,,
Paket Sehat 2GB,45.0,30.0,1.5,,0.5,Telkomsel,Pembelian Obat,,,,,,
Paket Data Zoom Berlangganan,130.0,30.0,,,15.0,Telkomsel,Zoom Pro,,,,,,
Paket Data Zoom,15.0,1.0,,,0.5,Telkomsel,Zoom Pro,,,,,,
Paket Data Zoom,25.0,3.0,,,1.5,Telkomsel,Zoom Pro,,,,,,
Paket Data Zoom,50.0,7.0,,,4.0,Telkomsel,Zoom Pro,,,,,,
Paket Data Zoom,130.0,30.0,,,15.0,Telkomsel,Zoom Pro,,,,,,
InternetMAX Lite 3 GB,25.0,30.0,2.5,,0.5,Telkomsel,,,,,,,
InternetMAX 4 GB Prime,30.0,30.0,3.0,,1.0,Telkomsel,,,,,,,
InternetMAX 7 GB,30.0,30.0,5.0,,2.0,Telkomsel,,,,,,,
InternetMAX 11 GB,42.0,30.0,8.0,,3.0,Telkomsel,,,,,,,
InternetMAX 18 GB,66.0,30.0,10.0,,8.0,Telkomsel,,,,,,,
InternetMAX 35 GB,83.0,30.0,25.0,,10.0,Telkomsel,,,,,,,
InternetMAX 51 GB,115.0,30.0,38.0,,13.0,Telkomsel,,,,,,,
InternetMAX 70 GB,138.0,30.0,55.0,,15.0,Telkomsel,,,,,,,
Paket ComboFit 1GB,20.0,30.0,1.0,,,Telkomsel,Fita Exercise Plan,,,,,,
Paket ComboFit 3GB,44.0,30.0,1.0,,2.0,Telkomsel,Allianz,,,,,,
Paket ComboFit 3.5GB,55.0,30.0,1.5,,2.0,Telkomsel,Allianz,,,,,,
Unlimited Play Silver Mobile Legends,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,
Unlimited Play Silver Free Fire,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,
Unlimited Play Silver AoV,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,
Unlimited Play Silver Shellfire,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,
Unlimited Play Silver Rise of Nowlins,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,
Unlimited Play Silver Google Play,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,
Unlimited Play Gold Mobile Legends,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,
Unlimited Play Gold Free Fire,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,
Unlimited Play Gold AoV,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,
Unlimited Play Gold Shellfire,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,
Unlimited Play Gold Rise of Nowlins,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,
Unlimited Play Gold Google Play,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,
Unlimited Play Diamond Mobile Legends,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,
Unlimited Play Diamond Free Fire,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,
Unlimited Play Diamond AoV,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,
Unlimited Play Diamond Shellfire,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,
Unlimited Play Diamond RoN,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,
Unlimited Play Diamond Google Play,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,
MusicMAX Smule VIP,25.0,30.0,1.25,,5.25,Telkomsel,,,,,,,
MusicMAX,25.0,30.0,1.5,,5.0,Telkomsel,NSP,,,,,,
MusicMAX JOOX VIP,32.0,30.0,1.0,,2.0,Telkomsel,,,,,,,
MusicMAX Smule,25.0,30.0,1.5,,5.0,Telkomsel,Smule,,,,,,
MusicMAX Ketengan,15.0,30.0,,,5.0,Telkomsel,,,,,,,
MAXstream 6GB,15.0,7.0,,,6.0,Telkomsel,Langganan Premium Video,,,,,,
GIGAMAX FIT,25.0,30.0,1.0,,5.0,Telkomsel,Langganan Premium Video,,,,,,
GALA,71.0,30.0,2.0,,7.0,Telkomsel,Langganan Premium Video,,,,,,
CATCHPLAY+ 7 Hari,16.0,7.0,,,1.0,Telkomsel,Movie Lovers Basic,,,,,,
CATCHPLAY+ 30 Hari,50.0,30.0,,,3.0,Telkomsel,Movie Lovers Basic,,,,,,
CATCHPLAY+ 90 Hari,100.0,90.0,,,9.0,Telkomsel,Movie Lovers Basic,,,,,,
Lionsgate Play 30 Hari,16.0,30.0,,,2.0,Telkomsel,Lionsgate Play,,,,,,
KlikFilm 3 Hari,7.0,3.0,,,0.5,Telkomsel,,,,,,,
KlikFilm 7 Hari,13.0,7.0,,,1.0,Telkomsel,,,,,,,
KlikFilm 30 Hari,21.0,30.0,,,1.5,Telkomsel,,,,,,,
Vision+,11.0,7.0,,,1.0,Telkomsel,Vision+,,,,,,
Vision+,31.0,30.0,,,2.0,Telkomsel,Vision+,,,,,,
Vision+,81.0,90.0,,,6.0,Telkomsel,Vision+,,,,,,
Vision+,202.0,360.0,,,24.0,Telkomsel,Vision+,,,,,,
Prime Video Mobile,8.0,7.0,,,1.0,Telkomsel,Prime Video Mobile,,,,,,
