,Product Name,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Unlimited Main Quota (GB),Limited Application Quota (GB),Operator,Others,Price,Main Quota Amount (GB),Main Quota Duration (Hari),App Quota Amount (GB),App Quota Duration (Hari),Product Duration (Hari),Total Anggota,Main Quota,Limited Application Quota,Unlimited Application Quota,Product Duration,Unnamed: 0,Unlimited Application Quota (GB)
0,Paket Data Kuota 100 GB,100.0,30.0,100.0,0.0,0.0,Smartfren,,,,,,,,,,,,,,
1,Paket Data Kuota M,38.0,30.0,16.0,0.0,5.0,Smartfren,,,,,,,,,,,,,,
2,Paket Data Kuota L,55.0,30.0,30.0,0.0,10.0,Smartfren,,,,,,,,,,,,,,
3,Paket Data Kuota 2L,82.0,30.0,55.0,0.0,10.0,Smartfren,,,,,,,,,,,,,,
4,Paket Data Kuota 3L,115.0,30.0,85.0,0.0,15.0,Smartfren,,,,,,,,,,,,,,
5,Paket Data Kuota 4L,137.0,30.0,110.0,0.0,15.0,Smartfren,,,,,,,,,,,,,,
6,Kuota 3 GB,15.0,14.0,3.0,0.0,0.0,Smartfren,,,,,,,,,,,,,,
7,Unlimited Harian 3 GB,100.0,28.0,0.0,13.0,0.0,Smartfren,,,,,,,,,,,,,,
8,Unlimited Harian 2 GB,80.0,28.0,0.0,12.0,0.0,Smartfren,,,,,,,,,,,,,,
9,Unlimited Harian 700 MB,65.0,28.0,0.0,10.7,0.0,Smartfren,,,,,,,,,,,,,,
10,Unlimited Harian 1 GB,45.0,14.0,0.0,11.0,0.0,Smartfren,,,,,,,,,,,,,,
11,Unlimited Harian 1 GB,25.0,7.0,0.0,11.0,0.0,Smartfren,,,,,,,,,,,,,,
12,Unlimited Harian 1 GB,9.0,1.0,0.0,11.0,0.0,Smartfren,,,,,,,,,,,,,,
13,Unlimited Nonstop 2 GB,10.0,10.0,0.0,12.0,0.0,Smartfren,,,,,,,,,,,,,,
14,Unlimited Nonstop 3 GB,15.0,14.0,0.0,13.0,0.0,Smartfren,,,,,,,,,,,,,,
15,Unlimited Nonstop 6 GB,35.0,30.0,0.0,16.0,0.0,Smartfren,,,,,,,,,,,,,,
16,Unlimited Nonstop 12 GB,50.0,30.0,0.0,22.0,0.0,Smartfren,,,,,,,,,,,,,,
17,Unlimited Nonstop 30GB,70.0,30.0,0.0,40.0,0.0,Smartfren,,,,,,,,,,,,,,
18,Unlimited Nonstop 45 GB,100.0,30.0,0.0,55.0,0.0,Smartfren,,,,,,,,,,,,,,
19,Unlimited Nonstop 60 GB,125.0,30.0,0.0,70.0,0.0,Smartfren,,,,,,,,,,,,,,
20,Paket Tinder Plus,32.0,30.0,1.0,,1.0,Telkomsel,Voucher Tinder Plus,,,,,,,,,,,,,
21,Ekstra Kuota 3GB,15.0,0.0,0.5,,2.5,Telkomsel,,,,,,,,,,,,,,
22,Ekstra Kuota 9.5GB,30.0,0.0,2.0,,7.5,Telkomsel,,,,,,,,,,,,,,
23,Ekstra Kuota 11.5GB,40.0,0.0,4.0,,7.5,Telkomsel,,,,,,,,,,,,,,
24,Ekstra Kuota 17.5GB,50.0,0.0,7.0,,10.5,Telkomsel,,,,,,,,,,,,,,
25,Ketengan Ilmupedia,1.1,1.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
26,Ketengan Ilmupedia,3.3,1.0,0.0,,10.0,Telkomsel,,,,,,,,,,,,,,
27,Ketengan Ilmupedia,3.3,3.0,0.0,,5.0,Telkomsel,,,,,,,,,,,,,,
28,Ketengan Ilmupedia,5.5,3.0,0.0,,11.0,Telkomsel,,,,,,,,,,,,,,
29,Ketengan Ilmupedia,7.7,3.0,0.0,,17.0,Telkomsel,,,,,,,,,,,,,,
30,Ketengan Ilmupedia,9.0,7.0,0.0,,11.0,Telkomsel,,,,,,,,,,,,,,
31,Ketengan Ilmupedia,11.2,7.0,0.0,,17.0,Telkomsel,,,,,,,,,,,,,,
32,Ketengan Ilmupedia,12.8,7.0,0.0,,28.0,Telkomsel,,,,,,,,,,,,,,
33,Bulanan Ilmupedia,25.0,30.0,1.0,,10.0,Telkomsel,,,,,,,,,,,,,,
34,Bulanan Ilmupedia,40.0,30.0,2.0,,20.0,Telkomsel,,,,,,,,,,,,,,
35,Ketengan Ruangguru,1.1,1.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
36,Ketengan Ruangguru,3.3,1.0,0.0,,10.0,Telkomsel,,,,,,,,,,,,,,
37,Ketengan Ruangguru,3.3,3.0,0.0,,5.0,Telkomsel,,,,,,,,,,,,,,
38,Ketengan Ruangguru,5.5,3.0,0.0,,11.0,Telkomsel,,,,,,,,,,,,,,
39,Ketengan Ruangguru,7.7,3.0,0.0,,17.0,Telkomsel,,,,,,,,,,,,,,
40,Ketengan Ruangguru,9.0,7.0,0.0,,11.0,Telkomsel,,,,,,,,,,,,,,
41,Ketengan Ruangguru,11.2,7.0,0.0,,17.0,Telkomsel,,,,,,,,,,,,,,
42,Ketengan Ruangguru,12.8,7.0,0.0,,28.0,Telkomsel,,,,,,,,,,,,,,
43,Bulanan Ruangguru,25.0,30.0,1.0,,5.0,Telkomsel,,,,,,,,,,,,,,
44,Bulanan Ruangguru,40.0,30.0,2.0,,10.0,Telkomsel,,,,,,,,,,,,,,
45,Ketengan Belajar - 2 GB,3.3,1.0,0.0,,2.0,Telkomsel,,,,,,,,,,,,,,
46,Ketengan Belajar - 5.5 GB,5.5,3.0,0.0,,5.5,Telkomsel,,,,,,,,,,,,,,
47,Ketengan Belajar - 11 GB,7.7,3.0,0.0,,11.0,Telkomsel,,,,,,,,,,,,,,
48,Ketengan Belajar - 5.5 GB,8.5,7.0,0.0,,5.5,Telkomsel,,,,,,,,,,,,,,
49,Ketengan Belajar - 11 GB,10.9,7.0,0.0,,11.0,Telkomsel,,,,,,,,,,,,,,
50,Ketengan Belajar - 22 GB,12.9,7.0,0.0,,22.0,Telkomsel,,,,,,,,,,,,,,
51,Bulanan Kuota Belajar - 15 GB,30.0,30.0,0.0,,15.0,Telkomsel,,,,,,,,,,,,,,
52,Bulanan Kuota Belajar - 30 GB,50.0,30.0,0.0,,30.0,Telkomsel,,,,,,,,,,,,,,
53,Paket Harian 1,6.5,1.0,2.0,,0.0,Telkomsel,,,,,,,,,,,,,,
54,Paket Harian 2,12.5,1.0,6.0,,0.0,Telkomsel,,,,,,,,,,,,,,
55,Combo Sakti,68.0,30.0,15.0,,10.0,Telkomsel,Prime Video,,,,,,,,,,,,,
56,Combo Sakti,88.0,30.0,20.0,,15.0,Telkomsel,Prime Video,,,,,,,,,,,,,
57,Combo Sakti,114.0,30.0,28.0,,20.0,Telkomsel,Prime Video,,,,,,,,,,,,,
58,Ketengan Utama - 500 MB,4.0,1.0,0.5,,0.0,Telkomsel,,,,,,,,,,,,,,
59,Ketengan Utama - 6 GB,17.0,1.0,6.0,,0.0,Telkomsel,,,,,,,,,,,,,,
60,Ketengan Utama - 3.5 GB,15.0,1.0,3.5,,0.0,Telkomsel,,,,,,,,,,,,,,
61,Ketengan Utama - 500 MB,12.5,3.0,0.5,,0.0,Telkomsel,,,,,,,,,,,,,,
62,Ketengan Utama - 22 GB,55.0,3.0,22.0,,0.0,Telkomsel,,,,,,,,,,,,,,
63,Ketengan Utama - 1.5 GB,18.0,3.0,1.5,,0.0,Telkomsel,,,,,,,,,,,,,,
64,Ketengan Utama - 2.5 GB,24.0,3.0,2.5,,0.0,Telkomsel,,,,,,,,,,,,,,
65,Ketengan Utama - 3.5 GB,29.0,3.0,3.5,,0.0,Telkomsel,,,,,,,,,,,,,,
66,Ketengan Utama - 8 GB,39.0,3.0,8.0,,0.0,Telkomsel,,,,,,,,,,,,,,
67,Ketengan Utama - 17 GB,49.0,3.0,17.0,,0.0,Telkomsel,,,,,,,,,,,,,,
68,Ketengan Utama - 500 MB,22.0,7.0,0.5,,0.0,Telkomsel,,,,,,,,,,,,,,
69,Ketengan Utama - 40 GB,77.5,7.0,40.0,,0.0,Telkomsel,,,,,,,,,,,,,,
70,Ketengan Utama - 1.5 GB,29.0,7.0,1.5,,0.0,Telkomsel,,,,,,,,,,,,,,
71,Ketengan Utama - 2.5 GB,36.0,7.0,2.5,,0.0,Telkomsel,,,,,,,,,,,,,,
72,Ketengan Utama - 3.5 GB,41.0,7.0,3.5,,0.0,Telkomsel,,,,,,,,,,,,,,
73,Ketengan Utama - 6 GB,50.0,7.0,6.0,,0.0,Telkomsel,,,,,,,,,,,,,,
74,Ketengan Utama - 17 GB,62.0,7.0,17.0,,0.0,Telkomsel,,,,,,,,,,,,,,
75,Ketengan 1 Hari YouTube,5.0,1.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
76,Ketengan 1 Hari Facebook,5.0,1.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
77,Ketengan 1 Hari Instagram,5.0,1.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
78,Ketengan 1 Hari TikTok,5.0,1.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
79,Ketengan 1 Hari Twitter,5.0,1.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
80,Ketengan 3 Hari YouTube,11.5,3.0,0.0,,2.0,Telkomsel,,,,,,,,,,,,,,
81,Ketengan 3 Hari Facebook,11.5,3.0,0.0,,2.0,Telkomsel,,,,,,,,,,,,,,
82,Ketengan 3 Hari Instagram,11.5,3.0,0.0,,2.0,Telkomsel,,,,,,,,,,,,,,
83,Ketengan 3 Hari TikTok,11.5,3.0,0.0,,2.0,Telkomsel,,,,,,,,,,,,,,
84,Ketengan 3 Hari Twitter,11.5,3.0,0.0,,2.0,Telkomsel,,,,,,,,,,,,,,
85,Ketengan 7 Hari YouTube,17.0,7.0,0.0,,3.0,Telkomsel,,,,,,,,,,,,,,
86,Ketengan 7 Hari Facebook,17.0,7.0,0.0,,3.0,Telkomsel,,,,,,,,,,,,,,
87,Ketengan 7 Hari Instagram,17.0,7.0,0.0,,3.0,Telkomsel,,,,,,,,,,,,,,
88,Ketengan 7 Hari TikTok,17.0,7.0,0.0,,3.0,Telkomsel,,,,,,,,,,,,,,
89,Ketengan 7 Hari Twitter,17.0,7.0,0.0,,3.0,Telkomsel,,,,,,,,,,,,,,
90,Ketengan TikTok 1 GB,3.6,1.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
91,Ketengan Whatsapp 1 GB,3.6,1.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
92,Ketengan Twitter 1 GB,3.6,1.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
93,Ketengan TikTok 1 GB,5.8,3.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
94,Ketengan Whatsapp 1 GB,5.8,3.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
95,Ketengan Twitter 1 GB,5.8,3.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
96,Ketengan TikTok 2.5 GB,8.0,3.0,0.0,,2.5,Telkomsel,,,,,,,,,,,,,,
97,Ketengan Whatsapp 2.5 GB,8.0,3.0,0.0,,2.5,Telkomsel,,,,,,,,,,,,,,
98,Ketengan Twitter 2.5 GB,8.0,3.0,0.0,,2.5,Telkomsel,,,,,,,,,,,,,,
99,Ketengan TikTok 1 GB,9.5,7.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
100,Ketengan Whatsapp 1 GB,9.5,7.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
101,Ketengan Twitter 1 GB,9.5,7.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
102,Ketengan TikTok 2.5 GB,11.8,7.0,0.0,,2.5,Telkomsel,,,,,,,,,,,,,,
103,Ketengan Whatsapp 2.5 GB,11.8,7.0,0.0,,2.5,Telkomsel,,,,,,,,,,,,,,
104,Ketengan Twitter 2.5 GB,11.8,7.0,0.0,,2.5,Telkomsel,,,,,,,,,,,,,,
105,Ketengan TikTok 3.5 GB,13.5,7.0,0.0,,3.5,Telkomsel,,,,,,,,,,,,,,
106,Ketengan Whatsapp 3.5 GB,13.5,7.0,0.0,,3.5,Telkomsel,,,,,,,,,,,,,,
107,Ketengan Twitter 3.5 GB,13.5,7.0,0.0,,3.5,Telkomsel,,,,,,,,,,,,,,
108,Ketengan YouTube 5.5 GB,34.0,30.0,0.0,,5.5,Telkomsel,,,,,,,,,,,,,,
109,Ketengan Instagram 5.5 GB,34.0,30.0,0.0,,5.5,Telkomsel,,,,,,,,,,,,,,
110,Ketengan Facebook 5.5 GB,34.0,30.0,0.0,,5.5,Telkomsel,,,,,,,,,,,,,,
111,Ketengan TikTok 5.5 GB,34.0,30.0,0.0,,5.5,Telkomsel,,,,,,,,,,,,,,
112,Ketengan Whatsapp 5.5 GB,34.0,30.0,0.0,,5.5,Telkomsel,,,,,,,,,,,,,,
113,Ketengan Twitter 5.5 GB,34.0,30.0,0.0,,5.5,Telkomsel,,,,,,,,,,,,,,
114,Ketengan YouTube 11 GB,54.0,30.0,0.0,,11.0,Telkomsel,,,,,,,,,,,,,,
115,Ketengan Instagram 11 GB,54.0,30.0,0.0,,11.0,Telkomsel,,,,,,,,,,,,,,
116,Ketengan Facebook 11 GB,54.0,30.0,0.0,,11.0,Telkomsel,,,,,,,,,,,,,,
117,Ketengan TikTok 11 GB,54.0,30.0,0.0,,11.0,Telkomsel,,,,,,,,,,,,,,
118,Ketengan Whatsapp 11 GB,54.0,30.0,0.0,,11.0,Telkomsel,,,,,,,,,,,,,,
119,Ketengan Twitter 11 GB,54.0,30.0,0.0,,11.0,Telkomsel,,,,,,,,,,,,,,
120,Paket Sehat 2GB,45.0,30.0,1.5,,0.5,Telkomsel,Pembelian Obat,,,,,,,,,,,,,
121,Paket Data Zoom Berlangganan,130.0,30.0,0.0,,15.0,Telkomsel,Zoom Pro,,,,,,,,,,,,,
122,Paket Data Zoom,15.0,1.0,0.0,,0.5,Telkomsel,Zoom Pro,,,,,,,,,,,,,
123,Paket Data Zoom,25.0,3.0,0.0,,1.5,Telkomsel,Zoom Pro,,,,,,,,,,,,,
124,Paket Data Zoom,50.0,7.0,0.0,,4.0,Telkomsel,Zoom Pro,,,,,,,,,,,,,
125,Paket Data Zoom,130.0,30.0,0.0,,15.0,Telkomsel,Zoom Pro,,,,,,,,,,,,,
126,InternetMAX Lite 3 GB,25.0,30.0,2.5,,0.5,Telkomsel,,,,,,,,,,,,,,
127,InternetMAX 4 GB Prime,30.0,30.0,3.0,,1.0,Telkomsel,,,,,,,,,,,,,,
128,InternetMAX 7 GB,30.0,30.0,5.0,,2.0,Telkomsel,,,,,,,,,,,,,,
129,InternetMAX 11 GB,42.0,30.0,8.0,,3.0,Telkomsel,,,,,,,,,,,,,,
130,InternetMAX 18 GB,66.0,30.0,10.0,,8.0,Telkomsel,,,,,,,,,,,,,,
131,InternetMAX 35 GB,83.0,30.0,25.0,,10.0,Telkomsel,,,,,,,,,,,,,,
132,InternetMAX 51 GB,115.0,30.0,38.0,,13.0,Telkomsel,,,,,,,,,,,,,,
133,InternetMAX 70 GB,138.0,30.0,55.0,,15.0,Telkomsel,,,,,,,,,,,,,,
134,Paket ComboFit 1GB,20.0,30.0,1.0,,0.0,Telkomsel,Fita Exercise Plan,,,,,,,,,,,,,
135,Paket ComboFit 3GB,44.0,30.0,1.0,,2.0,Telkomsel,Allianz,,,,,,,,,,,,,
136,Paket ComboFit 3.5GB,55.0,30.0,1.5,,2.0,Telkomsel,Allianz,,,,,,,,,,,,,
137,Unlimited Play Silver Mobile Legends,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,,,,,,,,
138,Unlimited Play Silver Free Fire,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,,,,,,,,
139,Unlimited Play Silver AoV,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,,,,,,,,
140,Unlimited Play Silver Shellfire,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,,,,,,,,
141,Unlimited Play Silver Rise of Nowlins,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,,,,,,,,
142,Unlimited Play Silver Google Play,25.0,30.0,1.25,,30.25,Telkomsel,,,,,,,,,,,,,,
143,Unlimited Play Gold Mobile Legends,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,,,,,,,,
144,Unlimited Play Gold Free Fire,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,,,,,,,,
145,Unlimited Play Gold AoV,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,,,,,,,,
146,Unlimited Play Gold Shellfire,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,,,,,,,,
147,Unlimited Play Gold Rise of Nowlins,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,,,,,,,,
148,Unlimited Play Gold Google Play,50.0,30.0,2.75,,30.75,Telkomsel,,,,,,,,,,,,,,
149,Unlimited Play Diamond Mobile Legends,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,,,,,,,,
150,Unlimited Play Diamond Free Fire,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,,,,,,,,
151,Unlimited Play Diamond AoV,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,,,,,,,,
152,Unlimited Play Diamond Shellfire,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,,,,,,,,
153,Unlimited Play Diamond RoN,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,,,,,,,,
154,Unlimited Play Diamond Google Play,75.0,30.0,4.25,,31.75,Telkomsel,,,,,,,,,,,,,,
155,MusicMAX Smule VIP,25.0,30.0,1.25,,5.25,Telkomsel,,,,,,,,,,,,,,
156,MusicMAX,25.0,30.0,1.5,,5.0,Telkomsel,NSP,,,,,,,,,,,,,
157,MusicMAX JOOX VIP,32.0,30.0,1.0,,2.0,Telkomsel,,,,,,,,,,,,,,
158,MusicMAX Smule,25.0,30.0,1.5,,5.0,Telkomsel,Smule,,,,,,,,,,,,,
159,MusicMAX Ketengan,15.0,30.0,0.0,,5.0,Telkomsel,,,,,,,,,,,,,,
160,MAXstream 6GB,15.0,7.0,0.0,,6.0,Telkomsel,Langganan Premium Video,,,,,,,,,,,,,
161,GIGAMAX FIT,25.0,30.0,1.0,,5.0,Telkomsel,Langganan Premium Video,,,,,,,,,,,,,
162,GALA,71.0,30.0,2.0,,7.0,Telkomsel,Langganan Premium Video,,,,,,,,,,,,,
163,CATCHPLAY+ 7 Hari,16.0,7.0,0.0,,1.0,Telkomsel,Movie Lovers Basic,,,,,,,,,,,,,
164,CATCHPLAY+ 30 Hari,50.0,30.0,0.0,,3.0,Telkomsel,Movie Lovers Basic,,,,,,,,,,,,,
165,CATCHPLAY+ 90 Hari,100.0,90.0,0.0,,9.0,Telkomsel,Movie Lovers Basic,,,,,,,,,,,,,
166,Lionsgate Play 30 Hari,16.0,30.0,0.0,,2.0,Telkomsel,Lionsgate Play,,,,,,,,,,,,,
167,KlikFilm 3 Hari,7.0,3.0,0.0,,0.5,Telkomsel,,,,,,,,,,,,,,
168,KlikFilm 7 Hari,13.0,7.0,0.0,,1.0,Telkomsel,,,,,,,,,,,,,,
169,KlikFilm 30 Hari,21.0,30.0,0.0,,1.5,Telkomsel,,,,,,,,,,,,,,
170,Vision+,11.0,7.0,0.0,,1.0,Telkomsel,Vision+,,,,,,,,,,,,,
171,Vision+,31.0,30.0,0.0,,2.0,Telkomsel,Vision+,,,,,,,,,,,,,
172,Vision+,81.0,90.0,0.0,,6.0,Telkomsel,Vision+,,,,,,,,,,,,,
173,Vision+,202.0,360.0,0.0,,24.0,Telkomsel,Vision+,,,,,,,,,,,,,
174,Prime Video Mobile,8.0,7.0,0.0,,1.0,Telkomsel,Prime Video Mobile,,,,,,,,,,,,,
175,Prime Video Mobile,21.0,30.0,0.0,,2.5,Telkomsel,Prime Video Mobile,,,,,,,,,,,,,
176,Prime Video,16.0,7.0,0.0,,2.0,Telkomsel,Prime Video,,,,,,,,,,,,,
177,Prime Video,45.0,30.0,0.0,,5.0,Telkomsel,Prime Video,,,,,,,,,,,,,
178,WeTV,12.0,7.0,0.0,,1.0,Telkomsel,WeTV,,,,,,,,,,,,,
179,WeTV,410.0,1.0,0.0,,24.0,Telkomsel,WeTV,,,,,,,,,,,,,
180,Viu,14.0,7.0,0.0,,2.0,Telkomsel,Viu,,,,,,,,,,,,,
181,Viu,39.0,30.0,0.0,,3.5,Telkomsel,Viu,,,,,,,,,,,,,
182,Viu,55.0,30.0,0.0,,7.0,Telkomsel,Viu,,,,,,,,,,,,,
183,Viu,100.0,90.0,0.0,,10.0,Telkomsel,Viu,,,,,,,,,,,,,
184,Viu,156.0,180.0,0.0,,15.0,Telkomsel,Viu,,,,,,,,,,,,,
185,Zee Bahasa,26.0,30.0,0.0,,2.0,Telkomsel,,,,,,,,,,,,,,
186,Zee All Access,36.0,30.0,0.0,,2.5,Telkomsel,,,,,,,,,,,,,,
187,GIGAMAX BASIC,52.0,30.0,3.0,,12.0,Telkomsel,Langganan Video,,,,,,,,,,,,,
188,GIGAMAX LITE,105.0,30.0,7.0,,28.0,Telkomsel,Langganan Video,,,,,,,,,,,,,
189,GIGAMAX PRO,155.0,30.0,15.0,,40.0,Telkomsel,Langganan Video,,,,,,,,,,,,,
190,GALA,71.0,30.0,2.0,,7.0,Telkomsel,Langganan Video,,,,,,,,,,,,,
191,GALA,101.0,30.0,4.0,,20.0,Telkomsel,Langganan Video,,,,,,,,,,,,,
192,GALA,155.0,30.0,10.0,,30.0,Telkomsel,Langganan Video,,,,,,,,,,,,,
193,Disney+ Hotstar,39.0,30.0,0.0,,2.0,Telkomsel,Disney+ Hotstar,,,,,,,,,,,,,
194,Vidio Platinum,15.0,7.0,0.0,,2.0,Telkomsel,Vidio Platinum,,,,,,,,,,,,,
195,Vidio Diamond,80.0,30.0,4.0,,3.0,Telkomsel,Vidio Platinum Mobile,,,,,,,,,,,,,
196,Vidio Platinum Mobile,10.0,7.0,0.0,,1.0,Telkomsel,Vidio Platinum,,,,,,,,,,,,,
197,Happy 130GB 30 hari,,,,,,Tri,,150000.0,130.0,30.0,0.0,0.0,30.0,,,,,,,
198,Happy 100GB 30 Hari..,,,,,,Tri,,140000.0,100.0,30.0,5.0,5.0,30.0,,,,,,,
