,Operator,ProductName,Price (Rp),Validity Duration (Day),Limited Main Quota (GB),Limited Application Quota (GB),Unlimited Main Quota (GB),Unlimited Application Quota (GB),Others
0,AXIS,AXIS Owsem 16 GB Rp 40.900,40.9,30.0,10.0,6.0,0,0,
1,AXIS,AXIS Owsem 24 GB Rp 50.900,50.9,30.0,15.0,9.0,0,0,
2,AXIS,AXIS Owsem 40 GB Rp 60.900,60.9,30.0,25.0,15.0,0,0,
3,AXIS,AXIS Owsem 64 GB Rp 76.400,76.4,30.0,40.0,24.0,0,0,
4,AXIS,AXIS Owsem 120 GB Rp 96.700,96.7,30.0,75.0,45.0,0,0,
5,AXIS,AXIS BOOSTR video 500 MB Rp 1.000,1.0,1.0,0.0,500.0,0,0,
6,AXIS,AXIS BOOSTR video 1 GB Rp 1.300,1.3,1.0,0.0,1.0,0,0,
7,AXIS,AXIS BOOSTR video 2 GB Rp 2.000,2.0,1.0,0.0,2.0,0,0,
8,AXIS,AXIS BOOSTR video 1 GB Rp 4.000,4.0,7.0,0.0,1.0,0,0,
9,AXIS,AXIS BOOSTR video 2 GB Rp 6.000,6.0,7.0,0.0,2.0,0,0,
10,AXIS,AXIS BOOSTR video 3 GB Rp 8.500,8.5,7.0,0.0,3.0,0,0,
11,AXIS,AXIS BOOSTR video 1 GB Rp 5.000,5.0,30.0,0.0,1.0,0,0,
12,AXIS,AXIS BOOSTR video 2 GB Rp 8.500,8.5,30.0,0.0,2.0,0,0,
13,AXIS,AXIS BOOSTR video 5 GB Rp 16.500,16.5,30.0,0.0,5.0,0,0,
14,AXIS,AXIS BOOSTR musik 500 MB Rp 600,600.0,1.0,0.0,500.0,0,0,
15,AXIS,AXIS BOOSTR musik 1 GB Rp 1.000,1.0,1.0,0.0,1.0,0,0,
16,AXIS,AXIS BOOSTR musik 2 GB Rp 1.500,1.5,1.0,0.0,2.0,0,0,
17,AXIS,AXIS BOOSTR musik 1 GB Rp 3.500,3.5,7.0,0.0,1.0,0,0,
18,AXIS,AXIS BOOSTR musik 2 GB Rp 5.500,5.5,7.0,0.0,2.0,0,0,
19,AXIS,AXIS BOOSTR musik 3 GB Rp 7.500,7.5,7.0,0.0,3.0,0,0,
20,AXIS,AXIS BOOSTR musik 1 GB Rp 4.500,4.5,30.0,0.0,1.0,0,0,
21,AXIS,AXIS BOOSTR musik 2 GB Rp 7.500,7.5,30.0,0.0,2.0,0,0,
22,AXIS,AXIS BOOSTR musik 5 GB Rp 15.000,15.0,30.0,0.0,5.0,0,0,
23,AXIS,AXIS BOOSTR sosmed 500 MB Rp 1.000,1.0,1.0,0.0,500.0,0,0,
24,AXIS,AXIS BOOSTR sosmed 1 GB Rp 1.300,1.3,1.0,0.0,1.0,0,0,
25,AXIS,AXIS BOOSTR sosmed 2 GB Rp 2.000,2.0,1.0,0.0,2.0,0,0,
26,AXIS,AXIS BOOSTR sosmed 1 GB Rp 4.000,4.0,7.0,0.0,1.0,0,0,
27,AXIS,AXIS BOOSTR sosmed 2 GB Rp 6.000,6.0,7.0,0.0,2.0,0,0,
28,AXIS,AXIS BOOSTR sosmed 3 GB Rp 8.500,8.5,7.0,0.0,3.0,0,0,
29,AXIS,AXIS BOOSTR sosmed 1 GB Rp 5.000,5.0,30.0,0.0,1.0,0,0,
30,AXIS,AXIS BOOSTR sosmed 2 GB Rp 8.500,8.5,30.0,0.0,2.0,0,0,
31,AXIS,AXIS BOOSTR sosmed 5 GB Rp 16.500,16.5,30.0,0.0,5.0,0,0,
32,AXIS,AXIS BOOSTR edukasi 2 GB Rp 800,800.0,1.0,0.0,2.0,0,0,
33,AXIS,AXIS BOOSTR edukasi 5 GB Rp 2.900,2.9,7.0,0.0,5.0,0,0,
34,AXIS,AXIS BOOSTR edukasi 15 GB Rp 8.900,8.9,7.0,0.0,15.0,0,0,
35,AXIS,AXIS BOOSTR games 500 MB Rp 700,700.0,1.0,0.0,500.0,0,0,
36,AXIS,AXIS BOOSTR games 1 GB Rp 1.200,1.2,1.0,0.0,1.0,0,0,
37,AXIS,AXIS BOOSTR games 2 GB Rp 1.700,1.7,1.0,0.0,2.0,0,0,
38,AXIS,AXIS BOOSTR games 1 GB Rp 3.500,3.5,7.0,0.0,1.0,0,0,
39,AXIS,AXIS BOOSTR games 2 GB Rp 5.500,5.5,7.0,0.0,2.0,0,0,
40,AXIS,AXIS BOOSTR games 3 GB Rp 7.500,7.5,7.0,0.0,3.0,0,0,
41,AXIS,AXIS BOOSTR games 1 GB Rp 4.500,4.5,30.0,0.0,1.0,0,0,
42,AXIS,AXIS BOOSTR games 2 GB Rp 7.500,7.5,30.0,0.0,2.0,0,0,
43,AXIS,AXIS BOOSTR games 5 GB Rp 15.000,15.0,30.0,0.0,5.0,0,0,
44,AXIS,AXIS BOOSTR konferensi 2 GB Rp 800,800.0,1.0,0.0,2.0,0,0,
45,AXIS,AXIS BOOSTR konferensi 5 GB Rp 2.900,2.9,7.0,0.0,5.0,0,0,
46,AXIS,AXIS BOOSTR konferensi 15 GB Rp 8.900,8.9,7.0,0.0,15.0,0,0,
47,AXIS,AXIS BOOSTR sunset 500 MB Rp 600,600.0,1.0,500.0,0.0,0,0,
48,AXIS,AXIS BOOSTR sunset 1 GB Rp 1.000,1.0,1.0,1.0,0.0,0,0,
49,AXIS,AXIS BOOSTR sunset 2 GB Rp 1.500,1.5,1.0,2.0,0.0,0,0,
50,AXIS,AXIS BOOSTR sunset 1 GB Rp 3.500,3.5,7.0,1.0,0.0,0,0,
51,AXIS,AXIS BOOSTR sunset 2 GB Rp 5.500,5.5,7.0,2.0,0.0,0,0,
52,AXIS,AXIS BOOSTR sunset 3 GB Rp 7.500,7.5,7.0,3.0,0.0,0,0,
53,AXIS,AXIS BOOSTR komik 500 MB Rp 700,700.0,1.0,0.0,500.0,0,0,
54,AXIS,AXIS BOOSTR komik 1 GB Rp 1.000,1.0,1.0,0.0,1.0,0,0,
55,AXIS,AXIS BOOSTR komik 2 GB Rp 1.500,1.5,1.0,0.0,2.0,0,0,
56,AXIS,AXIS BOOSTR komik 1 GB Rp 3.500,3.5,7.0,0.0,1.0,0,0,
57,AXIS,AXIS BOOSTR komik 2 GB Rp 5.500,5.5,7.0,0.0,2.0,0,0,
58,AXIS,AXIS BOOSTR komik 3 GB Rp 7.500,7.5,7.0,0.0,3.0,0,0,
59,AXIS,AXIS BOOSTR komik 1 GB Rp 4.500,4.5,30.0,0.0,1.0,0,0,
60,AXIS,AXIS BOOSTR komik 2 GB Rp 7.500,7.5,30.0,0.0,2.0,0,0,
61,AXIS,AXIS BOOSTR komik 5 GB Rp 15.000,15.0,30.0,0.0,5.0,0,0,
62,AXIS,AXIS Warnet 800 MB Rp 600,600.0,0.041666666666666664,800.0,0.0,0,0,
63,AXIS,"AXIS Warnet 1,5 GB Rp 1.390",1.39,0.08333333333333333,1.5,0.0,0,0,
64,AXIS,AXIS Warnet 3 GB Rp 2.190,2.19,0.125,3.0,0.0,0,0,
65,AXIS,AXIS Warnet 3 GB Rp 3.100,3.1,0.25,3.0,0.0,0,0,
66,AXIS,AXIS Warnet mobile-legend 3 GB Rp 5.840,5.84,0.125,3.0,0.0,0,0,DIAMOND12
67,AXIS,AXIS Warnet mobile-legend 3 GB Rp 11.890,11.89,0.125,3.0,0.0,0,0,DIAMOND28
68,AXIS,AXIS Warnet mobile-legend 3 GB Rp 19.590,19.59,0.125,3.0,0.0,0,0,DIAMOND59
69,AXIS,AXIS Warnet mobile-legend 3 GB Rp 28.390,28.39,0.25,3.0,0.0,0,0,DIAMOND85
70,AXIS,AXIS Warnet free-fire 3 GB Rp 2.990,2.99,0.125,3.0,0.0,0,0,DIAMOND5
71,AXIS,AXIS Warnet free-fire 3 GB Rp 5.090,5.09,0.25,3.0,0.0,0,0,DIAMOND12
72,AXIS,AXIS Warnet free-fire 3 GB Rp 9.990,9.99,0.125,3.0,0.0,0,0,DIAMOND50
73,AXIS,AXIS Warnet free-fire 3 GB Rp 13.090,13.09,0.25,3.0,0.0,0,0,DIAMOND70
74,AXIS,AXIS Warnet arena-of-valor 3 GB Rp 13.090,13.09,0.25,3.0,0.0,0,0,VOUCHERS40
75,AXIS,AXIS Warnet arena-of-valor 3 GB Rp 21.990,21.99,0.125,3.0,0.0,0,0,VOUCHERS90
76,AXIS,AXIS Warnet arena-of-valor 3 GB Rp 53.090,53.09,0.25,3.0,0.0,0,0,VOUCHERS230
77,AXIS,AXIS Warnet call-of-duty-mobile 3 GB Rp 6.990,6.99,0.125,3.0,0.0,0,0,CP26+5
78,AXIS,AXIS Warnet call-of-duty-mobile 3 GB Rp 13.090,13.09,0.25,3.0,0.0,0,0,CP53+9
79,AXIS,AXIS Warnet call-of-duty-mobile 3 GB Rp 21.990,21.99,0.125,3.0,0.0,0,0,CP106+21
80,AXIS,AXIS Warnet call-of-duty-mobile 3 GB Rp 53.090,53.09,0.25,3.0,0.0,0,0,CP264+53
