Product Name,Kuota Utama,Kuota Area,Telepon Semua Operator,Turbo Chat,Telpon Semua Operator,Kuota Bersama,Kuota Pribadi,Kuota Aplikasi,Telepon & SMS ke XL/AXIS,Total Anggota,Masa Aktif,Telepon ke Semua Operator,Unlimited Productivity,Unlimited Productiviy,YouTube,Masa Berlaku
Xtra Combo Flex S+,3 GB,hingga 7 GB,5 menit,"WhatsApp,Line",,,,,,,,,,,,
Xtra Combo Flex M,5 GB,hingga 10 GB,,"WhatsApp,Line",5 menit,,,,,,,,,,,
Xtra Combo Flex L,9 GB,hingga 18 GB,,"WhatsApp,Line",5 menit,,,,,,,,,,,
Xtra Combo Flex XL,15 GB,hingga 30 GB,,"WhatsApp,Line",5 menit,,,,,,,,,,,
Xtra Combo Flex XXL,30 GB,hingga 60 GB,,"WhatsApp,Line",5 menit,,,,,,,,,,,
Xtra Combo Flex XXXL,60 GB,hingga 120 GB,,"WhatsApp,Line",5 menit,,,,,,,,,,,
30 GB,,,,,,10 GB,hingga 10 GB,Unlimited,Unlimited,2 orang,30 hari,,,,,
42 GB,,,,,,16 GB,hingga 13 GB,Unlimited,Unlimited,2 orang,30 hari,,,,,
65 GB,,,,,,25 GB,hingga 20 GB,Unlimited,Unlimited,2 orang,30 hari,,,,,
147 GB,,,,,,45 GB,hingga 34 GB,Unlimited,Unlimited,3 orang,30 hari,,,,,
260 GB,,,,,,80 GB,hingga 45 GB,Unlimited,Unlimited,4 orang,30 hari,,,,,
460 GB,,,,,,160 GB,hingga 75 GB,Unlimited,Unlimited,4 orang,30 hari,,,,,
Xtra Combo VIP Plus 10 GB,10 GB,hingga 10 GB,,,,,,hingga 3 GB,,,,20 menit,Bonus,,,
Xtra Combo VIP Plus 20 GB,20 GB,hingga 20 GB,,,,,,hingga 3 GB,,,,30 menit,Bonus,,,
Xtra Combo VIP Plus 30 GB,30 GB,hingga 24 GB,,,,,,hingga 6 GB,,,,40 menit,Bonus,,,
Xtra Combo VIP Plus 52 GB,52 GB GB,hingga 40 GB,,,,,,hingga 9 GB,,,,60 menit,,Bonus,,
Xtra Combo VIP Plus 72 GB,72 GB,hingga 50 GB,,,,,,hingga 15 GB,,,,90 menit,Bonus,,,
Xtra Combo Mini 1.5 GB,1 GB,hingga 2.5 GB,,,,,,,,,7 hari,,,,0.5 GB,
Xtra Combo Mini 2.5 GB,1.5 GB,hingga 4 GB,,,,,,,,,7 hari,,,,1 GB,
Xtra Combo Mini 4 GB,2 GB,hingga 6 GB,,,,,,,,,7 hari,,,,2 GB,
Xtra Combo Mini 6 GB,3 GB,hingga 8.5 GB,,,,,,,,,7 hari,,,,3 GB,
Xtra Kuota Utama 2GB,2GB,,,,,,,,,,,,,,,12 Jam
Xtra Kuota Utama 2GB,2 GB,,,,,,,,,,,,,,,24 Jam